sample_id,native_label,proposed_canonical_label,review_decision,final_canonical_label,geometry_decision,annotation_status,reviewer_id,review_notes
cif_0038,Rust,rust_staining,accept,rust_staining,accept,positive,shah231,"Independently verified: reddish oxidation staining clearly visible around rivet heads on riveted steel plate/girder above water; bboxes align with stained areas, not just paint. Source row had an invalid placeholder annotation_status (""review_rejected_fragments"", not a taxonomy-allowed value) and a stray extra CSV field; both corrected here."
cif_0067,Crack,crack,accept,crack,accept,positive,shah231,"Independently verified: single clear, continuous linear crack traverses the concrete surface, matches native/normalized polygon. Source row had the same invalid placeholder annotation_status and stray extra field as cif_0038/cif_0089; corrected here."
cif_0089,Crack,crack,accept,crack,accept,positive,shah231,"Independently verified: thin visible linear crack runs vertically through concrete surface, consistent with native/normalized annotation. Source row had the same invalid placeholder annotation_status and stray extra field as cif_0038/cif_0067; corrected here."
dacl_0001,Crack|Rockpocket|Rust|Spalling,crack|honeycombing_rock_pocket|rust_staining|spalling,relabel,crack|rust_staining|spalling|unknown_review,accept,positive,shah231,"Crack/Rust/Spalling confirmed visually (vertical crack top-right; small rust-colored mark; multiple small spall pits plus a larger flaked patch). Checked the polygons against the red spray-painted graffiti/circles on this wall per README item 2: the Spalling polygons trace genuine small pits, not the graffiti lines - geometry accepted. Rockpocket instance marks only a single ambiguous dark speck on otherwise ordinary concrete texture with no visible aggregate-exposure/void pattern (taxonomy explicitly excludes ""ordinary texture""); downgraded crack-adjacent Rockpocket label to unknown_review per README item 6 (reviewer terminology confirmation required), rather than dropping it, per the ""never convert unknown to negative"" rule. Note for project owner: native annotation also contains 9 additional shapes under 5 labels not in TAXONOMY.md source-mapping scope for this packet (Cavity x3, Hollowareas x2, Wetspot x2, Weathering x1, WConccor x1) which are absent from normalized_annotations; WConccor specifically should map to unknown_review per the taxonomy table rather than being silently dropped - worth a pipeline check. Also corrected an invalid placeholder geometry_decision value (""automated_geometry_qc_passed"") from the source file, which is not one of the three allowed values (accept/relabel/reject)."
dacl_0002,Rockpocket,honeycombing_rock_pocket,accept,honeycombing_rock_pocket,accept,positive,Mario,Accepted source-native Rockpocket mapping; terminology remains a strong mapping under taxonomy review.
dacl_0003,Crack|Efflorescence|Rockpocket|Rust,crack|efflorescence_leaching|honeycombing_rock_pocket|rust_staining,accept,crack|efflorescence_leaching|honeycombing_rock_pocket|rust_staining,accept,positive,Mario,Accepted source-native DACL mappings; rust is visible evidence only.
dacl_0004,Crack|Rockpocket|Spalling,crack|honeycombing_rock_pocket|spalling,accept,crack|honeycombing_rock_pocket|spalling,accept,positive,Mario,Accepted source-native DACL mappings.
dacl_0005,Rockpocket|Rust|Spalling,honeycombing_rock_pocket|rust_staining|spalling,accept,honeycombing_rock_pocket|rust_staining|spalling,accept,positive,Mario,Accepted source-native DACL mappings; rust is visible evidence only.
dacl_0006,Crack|Rockpocket,crack|honeycombing_rock_pocket,accept,crack|honeycombing_rock_pocket,accept,positive,Mario,Accepted source-native DACL mappings.
dacl_0007,ACrack|Crack|Rockpocket|Rust|Spalling,crack|honeycombing_rock_pocket|rust_staining|spalling,accept,crack|honeycombing_rock_pocket|rust_staining|spalling,accept,positive,Mario,Accepted source-native DACL mappings; ACrack remains canonical crack.
